 prec,T,Wliq,PsiS,soil_mbe,soil_ET,soil_Infiltration,soil_Drainage,soil_Runoff,soil_PondSto,canopy_SWE,canopy_swe_l,canopy_swe_i,canopy_CanopyEvap,canopy_SoilEvap,tr_spafhy,canopy_Interception,canopy_Throughfall,canopy_PotInfiltration,canopy_mbe,canopy_CanopyStorage,LE,tr_phydro,gs,soil_Kh,Melt,Freeze,beta_SoilEvap,canopy_Unloading
0.115741E-5,1.85501,0.400872,-0.312900E-2,0.799361E-14,0.344581E-2,0.621826E-3,5.24843,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.344581E-2,0.00000,0.354484E-2,0.621826E-3,0.621826E-3,0.00000,0.354484E-2,2.38885,0.00000,NaN,0.133024E-5,0.00000,0.00000,0.871461,0.00000
0.115741E-5,1.88998,0.388896,-0.505817E-2,-0.355271E-14,0.305192E-2,0.162443E-2,4.78887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.305192E-2,0.00000,0.254224E-2,0.162443E-2,0.162443E-2,0.00000,0.608708E-2,2.11570,0.00000,NaN,0.122127E-5,0.00000,0.00000,0.845426,0.00000
0.115741E-5,1.43500,0.377905,-0.782826E-2,0.124345E-13,0.211616E-2,0.234346E-2,4.39658,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.211616E-2,0.00000,0.182321E-2,0.234346E-2,0.234346E-2,0.00000,0.791028E-2,1.46764,0.00000,NaN,0.112709E-5,0.00000,0.00000,0.821533,0.00000
0.115741E-5,1.81500,0.367762,-0.117382E-1,-0.532907E-14,0.258418E-2,0.285913E-2,4.05753,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.258418E-2,0.00000,0.130754E-2,0.285913E-2,0.285913E-2,0.867362E-18,0.921783E-2,1.79158,0.00000,NaN,0.104485E-5,0.00000,0.00000,0.799483,0.00000
0.115741E-5,1.37500,0.360008,-0.160548E-1,0.888178E-15,0.183053E-2,0.322894E-2,3.10301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.183053E-2,0.00000,0.937724E-3,0.322894E-2,0.322894E-2,-0.867362E-18,0.101555E-1,1.26961,0.00000,NaN,0.984872E-6,0.00000,0.00000,0.782626,0.00000
0.115741E-5,1.24503,0.360009,-0.160544E-1,0.264155E-14,0.212243E-2,0.349416E-2,0.110651E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.212243E-2,0.00000,0.672503E-3,0.349416E-2,0.349416E-2,-0.867362E-18,0.108281E-1,1.47225,0.00000,NaN,0.984877E-6,0.00000,0.00000,0.782628,0.00000
0.115741E-5,1.67502,0.360009,-0.160541E-1,0.570334E-14,0.207390E-2,0.368437E-2,0.142026E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.207390E-2,0.00000,0.482296E-3,0.368437E-2,0.368437E-2,0.00000,0.113103E-1,1.43800,0.00000,NaN,0.984881E-6,0.00000,0.00000,0.782629,0.00000
0.115741E-5,1.44000,0.360010,-0.160538E-1,0.131006E-13,0.256385E-2,0.382078E-2,0.112052E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.256385E-2,0.00000,0.345887E-3,0.382078E-2,0.382078E-2,-0.867362E-18,0.116562E-1,1.77812,0.00000,NaN,0.984884E-6,0.00000,0.00000,0.782629,0.00000
0.115741E-5,2.48502,0.360008,-0.160551E-1,-0.475141E-14,0.471003E-2,0.391861E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.471003E-2,0.00000,0.248058E-3,0.391861E-2,0.391861E-2,0.00000,0.119043E-1,3.26333,0.00000,NaN,0.984869E-6,0.00000,0.00000,0.782625,0.00000
0.115741E-5,3.05002,0.360001,-0.160597E-1,-0.131110E-13,0.677733E-2,0.398877E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.677733E-2,0.00000,0.177899E-3,0.398877E-2,0.398877E-2,-0.867362E-18,0.120822E-1,4.69312,0.00000,NaN,0.984816E-6,0.00000,0.00000,0.782610,0.00000
